transaction_id,customer_id,merchant_id,amount,currency,payment_method,payment_network,payment_channel,timestamp,hour,day_of_week,is_weekend,customer_age_days,customer_previous_transactions,customer_successful_transactions,customer_historical_success_rate,customer_lifetime_value,customer_average_transaction,customer_transaction_frequency_30d,amount_vs_customer_average,is_subscription,subscription_age_days,is_first_transaction,consecutive_failure_streak,customer_past_recovery_rate_pre_current,previous_failures_24h,previous_failures_7d,previous_successes_30d,transactions_24h,transactions_7d,device_changed,location_changed,ip_risk_score,velocity_score,payment_status,failure_reason,failure_category,recovery_success_probability,recovery_attempted,recovery_action,recovery_attempt_count,customer_contacted_today,recovered,recovered_amount
txn_0000001,cust_01879,merch_002,453.53,INR,netbanking,icici,web,2026-01-01 00:00:06,0,3,0,875,0,0,1.0,0.0,639.86,0,0.7088,0,0,1,0,0.5,0,0,0,0,0,0,0,0.1096,0.0206,success,none,none,,0,none,0,0,0,0.0
txn_0000002,cust_00629,merch_050,1477.56,INR,upi,upi,web,2026-01-01 00:40:44,0,3,0,517,0,0,1.0,0.0,1093.65,0,1.351,0,0,1,0,0.5,0,0,0,0,0,0,0,0.0129,0.0324,success,none,none,,0,none,0,0,0,0.0
txn_0000003,cust_02541,merch_042,1700.64,INR,upi,upi,mobile,2026-01-01 00:50:12,0,3,0,483,0,0,1.0,0.0,1706.13,0,0.9968,1,645,1,0,0.5,0,0,0,0,0,0,1,0.3614,0.1073,success,none,none,,0,none,0,0,0,0.0
txn_0000004,cust_03850,merch_001,2096.21,INR,upi,upi,mobile,2026-01-01 00:53:47,0,3,0,617,0,0,1.0,0.0,2564.72,0,0.8173,0,0,1,0,0.5,0,0,0,0,0,0,0,0.166,0.0047,success,none,none,,0,none,0,0,0,0.0
txn_0000005,cust_01276,merch_035,2220.38,INR,upi,upi,mobile,2026-01-01 00:54:01,0,3,0,25,0,0,1.0,0.0,2861.16,0,0.776,0,0,1,0,0.5,0,0,0,0,0,0,0,0.0507,0.0141,failed,suspected_risk,risk_related,0.2083,1,escalate,2,1,0,0.0
txn_0000006,cust_01129,merch_029,761.7,INR,card,mastercard,api,2026-01-01 01:07:13,1,3,0,401,0,0,1.0,0.0,1159.64,0,0.6568,0,0,1,0,0.5,0,0,0,0,0,0,1,0.212,0.1114,success,none,none,,0,none,0,0,0,0.0
txn_0000007,cust_02255,merch_009,1089.36,INR,upi,upi,mobile,2026-01-01 01:13:37,1,3,0,57,0,0,1.0,0.0,1152.54,0,0.9452,0,0,1,0,0.5,0,0,0,0,0,0,1,0.0842,0.0325,success,none,none,,0,none,0,0,0,0.0
txn_0000008,cust_00678,merch_025,8965.66,INR,card,amex,web,2026-01-01 01:14:00,1,3,0,709,0,0,1.0,0.0,8568.17,0,1.0464,1,102,1,0,0.5,0,0,0,0,0,0,0,0.3708,0.1542,failed,insufficient_funds,customer_action_required,0.6276,1,payment_link,1,1,1,8576.19
txn_0000009,cust_01688,merch_047,1609.87,INR,wallet,other,web,2026-01-01 01:23:14,1,3,0,556,0,0,1.0,0.0,1863.66,0,0.8638,1,486,1,0,0.5,0,0,0,0,0,0,0,0.0044,0.0021,success,none,none,,0,none,0,0,0,0.0
txn_0000010,cust_00002,merch_022,1605.32,INR,card,rupay,mobile,2026-01-01 01:33:48,1,3,0,847,0,0,1.0,0.0,1906.12,0,0.8422,0,0,1,0,0.5,0,0,0,0,0,0,0,0.163,0.19,success,none,none,,0,none,0,0,0,0.0
txn_0000011,cust_02672,merch_007,1319.52,INR,upi,upi,mobile,2026-01-01 01:46:52,1,3,0,20,0,0,1.0,0.0,834.46,0,1.5813,0,0,1,0,0.5,0,0,0,0,0,0,0,0.2715,0.0016,success,none,none,,0,none,0,0,0,0.0
txn_0000012,cust_01530,merch_042,557.95,INR,upi,upi,web,2026-01-01 02:00:01,2,3,0,246,0,0,1.0,0.0,626.73,0,0.8903,1,565,1,0,0.5,0,0,0,0,0,0,0,0.0451,0.068,success,none,none,,0,none,0,0,0,0.0
txn_0000013,cust_00034,merch_023,3298.77,INR,upi,upi,mobile,2026-01-01 02:03:48,2,3,0,134,0,0,1.0,0.0,2780.8,0,1.1863,0,0,1,0,0.5,0,0,0,0,0,0,0,0.2828,0.1907,success,none,none,,0,none,0,0,0,0.0
txn_0000014,cust_01406,merch_042,1335.12,INR,wallet,other,mobile,2026-01-01 02:08:18,2,3,0,104,0,0,1.0,0.0,1264.58,0,1.0558,0,0,1,0,0.5,0,0,0,0,0,0,1,0.0334,0.1465,success,none,none,,0,none,0,0,0,0.0
txn_0000015,cust_01898,merch_014,2687.48,INR,netbanking,sbi,mobile,2026-01-01 02:08:37,2,3,0,295,0,0,1.0,0.0,1892.38,0,1.4202,0,0,1,0,0.5,0,0,0,0,0,0,0,0.4986,0.1897,success,none,none,,0,none,0,0,0,0.0
txn_0000016,cust_03493,merch_034,764.65,INR,upi,upi,mobile,2026-01-01 02:16:20,2,3,0,1029,0,0,1.0,0.0,763.0,0,1.0022,1,113,1,0,0.5,0,0,0,0,0,0,0,0.1045,0.0842,failed,card_expired,payment_method_problem,0.335,0,no_action,0,0,0,0.0
txn_0000017,cust_02030,merch_025,1069.64,INR,card,visa,mobile,2026-01-01 02:18:20,2,3,0,477,0,0,1.0,0.0,2032.48,0,0.5263,0,0,1,0,0.5,0,0,0,0,0,0,0,0.1017,0.1124,success,none,none,,0,none,0,0,0,0.0
txn_0000018,cust_02274,merch_002,2810.99,INR,netbanking,axis,web,2026-01-01 02:21:31,2,3,0,878,0,0,1.0,0.0,2136.66,0,1.3156,1,210,1,0,0.5,0,0,0,0,0,0,0,0.2115,0.0127,success,none,none,,0,none,0,0,0,0.0
txn_0000019,cust_02871,merch_006,2279.17,INR,upi,upi,mobile,2026-01-01 02:39:48,2,3,0,815,0,0,1.0,0.0,1626.43,0,1.4013,0,0,1,0,0.5,0,0,0,0,0,0,0,0.0813,0.0599,success,none,none,,0,none,0,0,0,0.0
txn_0000020,cust_01445,merch_019,1518.07,INR,card,visa,web,2026-01-01 02:41:39,2,3,0,234,0,0,1.0,0.0,2520.45,0,0.6023,1,715,1,0,0.5,0,0,0,0,0,0,0,0.2699,0.0632,success,none,none,,0,none,0,0,0,0.0
txn_0000021,cust_00190,merch_021,5755.08,INR,upi,upi,mobile,2026-01-01 02:47:10,2,3,0,290,0,0,1.0,0.0,5076.87,0,1.1336,0,0,1,0,0.5,0,0,0,0,0,0,0,0.143,0.0849,success,none,none,,0,none,0,0,0,0.0
txn_0000022,cust_02767,merch_006,10146.21,INR,upi,upi,mobile,2026-01-01 02:54:29,2,3,0,479,0,0,1.0,0.0,5423.74,0,1.8707,0,0,1,0,0.5,0,0,0,0,0,0,0,0.0659,0.0938,success,none,none,,0,none,0,0,0,0.0
txn_0000023,cust_01893,merch_022,4203.33,INR,card,rupay,mobile,2026-01-01 02:54:30,2,3,0,741,0,0,1.0,0.0,3064.62,0,1.3716,1,499,1,0,0.5,0,0,0,0,0,0,0,0.1796,0.061,failed,insufficient_funds,customer_action_required,0.7464,1,payment_link,1,1,1,4203.33
txn_0000024,cust_00240,merch_038,3161.03,INR,wallet,other,web,2026-01-01 02:54:58,2,3,0,119,0,0,1.0,0.0,2810.04,0,1.1249,1,273,1,0,0.5,0,0,0,0,0,0,0,0.0084,0.1098,failed,network_timeout,transient,0.6729,1,retry,2,0,1,3161.03
txn_0000025,cust_01423,merch_044,166.35,INR,card,visa,web,2026-01-01 03:18:55,3,3,0,699,0,0,1.0,0.0,132.87,0,1.252,0,0,1,0,0.5,0,0,0,0,0,0,0,0.3234,0.1949,success,none,none,,0,none,0,0,0,0.0
txn_0000026,cust_02032,merch_009,2271.4,INR,upi,upi,mobile,2026-01-01 03:20:26,3,3,0,323,0,0,1.0,0.0,2690.67,0,0.8442,0,0,1,0,0.5,0,0,0,0,0,0,0,0.0235,0.0776,success,none,none,,0,none,0,0,0,0.0
txn_0000027,cust_00231,merch_043,3233.72,INR,upi,upi,web,2026-01-01 03:31:21,3,3,0,207,0,0,1.0,0.0,2351.23,0,1.3753,1,401,1,0,0.5,0,0,0,0,0,1,0,0.0887,0.1904,success,none,none,,0,none,0,0,0,0.0
txn_0000028,cust_02417,merch_003,2262.07,INR,upi,upi,mobile,2026-01-01 03:35:13,3,3,0,768,0,0,1.0,0.0,1886.87,0,1.1988,0,0,1,0,0.5,0,0,0,0,0,0,0,0.0854,0.1361,success,none,none,,0,none,0,0,0,0.0
txn_0000029,cust_03026,merch_025,970.89,INR,upi,upi,mobile,2026-01-01 03:35:20,3,3,0,962,0,0,1.0,0.0,1083.8,0,0.8958,0,0,1,0,0.5,0,0,0,0,0,0,0,0.0236,0.1975,success,none,none,,0,none,0,0,0,0.0
txn_0000030,cust_02561,merch_012,866.22,INR,card,rupay,web,2026-01-01 03:43:30,3,3,0,778,0,0,1.0,0.0,1506.48,0,0.575,1,107,1,0,0.5,0,0,0,0,0,0,0,0.1096,0.0044,success,none,none,,0,none,0,0,0,0.0
txn_0000031,cust_03618,merch_041,1969.22,INR,upi,upi,web,2026-01-01 04:02:58,4,3,0,758,0,0,1.0,0.0,2088.75,0,0.9428,0,0,1,0,0.5,0,0,0,0,0,0,0,0.053,0.1293,failed,network_timeout,transient,0.7119,0,no_action,0,0,0,0.0
txn_0000032,cust_02370,merch_023,4050.7,INR,upi,upi,web,2026-01-01 04:04:52,4,3,0,827,0,0,1.0,0.0,4192.4,0,0.9662,1,434,1,0,0.5,0,0,0,0,0,0,0,0.0213,0.0534,success,none,none,,0,none,0,0,0,0.0
txn_0000033,cust_03710,merch_038,834.11,INR,card,rupay,web,2026-01-01 04:10:05,4,3,0,294,0,0,1.0,0.0,849.17,0,0.9823,0,0,1,0,0.5,0,0,0,0,0,1,0,0.0077,0.0376,success,none,none,,0,none,0,0,0,0.0
txn_0000034,cust_00202,merch_022,1176.77,INR,wallet,other,mobile,2026-01-01 04:49:40,4,3,0,861,0,0,1.0,0.0,1065.15,0,1.1048,0,0,1,0,0.5,0,0,0,0,0,0,0,0.0367,0.0989,success,none,none,,0,none,0,0,0,0.0
txn_0000035,cust_03032,merch_015,1441.81,INR,card,visa,api,2026-01-01 04:52:42,4,3,0,745,0,0,1.0,0.0,1230.69,0,1.1715,0,0,1,0,0.5,0,0,0,0,0,0,0,0.039,0.1696,success,none,none,,0,none,0,0,0,0.0
txn_0000036,cust_03674,merch_005,1823.17,INR,upi,upi,web,2026-01-01 04:59:13,4,3,0,88,0,0,1.0,0.0,1114.39,0,1.636,1,256,1,0,0.5,0,0,0,0,0,0,0,0.1044,0.1252,success,none,none,,0,none,0,0,0,0.0
